,state,year,month,indicator,overdose_deaths,state_name,Date_Month_Year
1156,AL,2016,7,Number of Drug Overdose Deaths,681,Alabama,7 2016
1160,AL,2016,6,Number of Drug Overdose Deaths,674,Alabama,6 2016
1163,AL,2016,3,Number of Drug Overdose Deaths,681,Alabama,3 2016
1166,AL,2016,5,Number of Drug Overdose Deaths,654,Alabama,5 2016
1169,AL,2016,11,Number of Drug Overdose Deaths,718,Alabama,11 2016
1172,AL,2016,10,Number of Drug Overdose Deaths,704,Alabama,10 2016
1174,AL,2016,9,Number of Drug Overdose Deaths,695,Alabama,9 2016
1178,AL,2017,4,Number of Drug Overdose Deaths,795,Alabama,4 2017
1181,AL,2017,8,Number of Drug Overdose Deaths,808,Alabama,8 2017
1184,AL,2017,12,Number of Drug Overdose Deaths,807,Alabama,12 2017
1187,AL,2017,2,Number of Drug Overdose Deaths,759,Alabama,2 2017
1190,AL,2017,1,Number of Drug Overdose Deaths,763,Alabama,1 2017
1193,AL,2017,7,Number of Drug Overdose Deaths,809,Alabama,7 2017
1195,AL,2017,6,Number of Drug Overdose Deaths,804,Alabama,6 2017
1199,AL,2017,3,Number of Drug Overdose Deaths,794,Alabama,3 2017
1202,AL,2017,5,Number of Drug Overdose Deaths,812,Alabama,5 2017
1204,AL,2017,11,Number of Drug Overdose Deaths,799,Alabama,11 2017
1208,AL,2017,10,Number of Drug Overdose Deaths,801,Alabama,10 2017
1209,AL,2017,9,Number of Drug Overdose Deaths,800,Alabama,9 2017
1213,AL,2018,4,Number of Drug Overdose Deaths,785,Alabama,4 2018
1217,AL,2018,8,Number of Drug Overdose Deaths,745,Alabama,8 2018
1220,AL,2018,12,Number of Drug Overdose Deaths,740,Alabama,12 2018
1223,AL,2018,2,Number of Drug Overdose Deaths,799,Alabama,2 2018
1225,AL,2018,1,Number of Drug Overdose Deaths,785,Alabama,1 2018
1229,AL,2018,7,Number of Drug Overdose Deaths,759,Alabama,7 2018
1232,AL,2018,6,Number of Drug Overdose Deaths,764,Alabama,6 2018
1235,AL,2018,3,Number of Drug Overdose Deaths,785,Alabama,3 2018
1238,AL,2018,5,Number of Drug Overdose Deaths,787,Alabama,5 2018
1241,AL,2018,11,Number of Drug Overdose Deaths,744,Alabama,11 2018
1243,AL,2018,10,Number of Drug Overdose Deaths,751,Alabama,10 2018
1246,AL,2018,9,Number of Drug Overdose Deaths,754,Alabama,9 2018
1249,AL,2019,4,Number of Drug Overdose Deaths,699,Alabama,4 2019
1252,AL,2019,8,Number of Drug Overdose Deaths,731,Alabama,8 2019
1255,AL,2019,12,Number of Drug Overdose Deaths,739,Alabama,12 2019
1259,AL,2019,2,Number of Drug Overdose Deaths,703,Alabama,2 2019
1260,AL,2019,1,Number of Drug Overdose Deaths,724,Alabama,1 2019
1264,AL,2019,7,Number of Drug Overdose Deaths,715,Alabama,7 2019
1268,AL,2019,6,Number of Drug Overdose Deaths,720,Alabama,6 2019
1270,AL,2019,3,Number of Drug Overdose Deaths,701,Alabama,3 2019
1274,AL,2019,5,Number of Drug Overdose Deaths,699,Alabama,5 2019
1277,AL,2019,11,Number of Drug Overdose Deaths,750,Alabama,11 2019
1280,AL,2019,10,Number of Drug Overdose Deaths,743,Alabama,10 2019
1283,AL,2019,9,Number of Drug Overdose Deaths,719,Alabama,9 2019
1286,AL,2020,4,Number of Drug Overdose Deaths,826,Alabama,4 2020
1288,AL,2020,8,Number of Drug Overdose Deaths,934,Alabama,8 2020
1291,AL,2020,12,Number of Drug Overdose Deaths,989,Alabama,12 2020
1295,AL,2020,2,Number of Drug Overdose Deaths,772,Alabama,2 2020
1298,AL,2020,1,Number of Drug Overdose Deaths,754,Alabama,1 2020
1301,AL,2020,7,Number of Drug Overdose Deaths,919,Alabama,7 2020
1304,AL,2020,6,Number of Drug Overdose Deaths,902,Alabama,6 2020
1307,AL,2020,3,Number of Drug Overdose Deaths,791,Alabama,3 2020
1309,AL,2020,5,Number of Drug Overdose Deaths,879,Alabama,5 2020
1312,AL,2020,11,Number of Drug Overdose Deaths,960,Alabama,11 2020
1314,AL,2020,10,Number of Drug Overdose Deaths,946,Alabama,10 2020
1319,AL,2020,9,Number of Drug Overdose Deaths,952,Alabama,9 2020
1322,AL,2021,4,Number of Drug Overdose Deaths,"1,124",Alabama,4 2021
1324,AL,2021,8,Number of Drug Overdose Deaths,"1,193",Alabama,8 2021
1328,AL,2021,12,Number of Drug Overdose Deaths,"1,333",Alabama,12 2021
1329,AL,2021,2,Number of Drug Overdose Deaths,"1,047",Alabama,2 2021
1333,AL,2021,1,Number of Drug Overdose Deaths,"1,032",Alabama,1 2021
1337,AL,2021,7,Number of Drug Overdose Deaths,"1,165",Alabama,7 2021
1340,AL,2021,6,Number of Drug Overdose Deaths,"1,138",Alabama,6 2021
1343,AL,2021,3,Number of Drug Overdose Deaths,"1,091",Alabama,3 2021
1345,AL,2021,5,Number of Drug Overdose Deaths,"1,123",Alabama,5 2021
1349,AL,2021,11,Number of Drug Overdose Deaths,"1,308",Alabama,11 2021
1352,AL,2021,10,Number of Drug Overdose Deaths,"1,295",Alabama,10 2021
1355,AL,2021,9,Number of Drug Overdose Deaths,"1,247",Alabama,9 2021
1357,AL,2022,4,Number of Drug Overdose Deaths,"1,331",Alabama,4 2022
1360,AL,2022,8,Number of Drug Overdose Deaths,"1,346",Alabama,8 2022
1362,AL,2022,2,Number of Drug Overdose Deaths,"1,363",Alabama,2 2022
1366,AL,2022,1,Number of Drug Overdose Deaths,"1,329",Alabama,1 2022
1369,AL,2022,7,Number of Drug Overdose Deaths,"1,352",Alabama,7 2022
1373,AL,2022,6,Number of Drug Overdose Deaths,"1,333",Alabama,6 2022
1375,AL,2022,3,Number of Drug Overdose Deaths,"1,344",Alabama,3 2022
1379,AL,2022,5,Number of Drug Overdose Deaths,"1,338",Alabama,5 2022
1385,AR,2015,4,Number of Drug Overdose Deaths,373,Arkansas,4 2015
1402,AR,2015,8,Number of Drug Overdose Deaths,398,Arkansas,8 2015
1405,AR,2015,12,Number of Drug Overdose Deaths,381,Arkansas,12 2015
1426,AR,2015,2,Number of Drug Overdose Deaths,366,Arkansas,2 2015
1439,AR,2015,1,Number of Drug Overdose Deaths,366,Arkansas,1 2015
1451,AR,2015,7,Number of Drug Overdose Deaths,395,Arkansas,7 2015
1459,AR,2015,6,Number of Drug Overdose Deaths,391,Arkansas,6 2015
1469,AR,2015,3,Number of Drug Overdose Deaths,385,Arkansas,3 2015
1485,AR,2015,5,Number of Drug Overdose Deaths,383,Arkansas,5 2015
1491,AR,2015,11,Number of Drug Overdose Deaths,389,Arkansas,11 2015
1509,AR,2015,10,Number of Drug Overdose Deaths,397,Arkansas,10 2015
1512,AR,2015,9,Number of Drug Overdose Deaths,392,Arkansas,9 2015
1531,AR,2016,4,Number of Drug Overdose Deaths,372,Arkansas,4 2016
1546,AR,2016,8,Number of Drug Overdose Deaths,383,Arkansas,8 2016
1551,AR,2016,12,Number of Drug Overdose Deaths,386,Arkansas,12 2016
1567,AR,2016,2,Number of Drug Overdose Deaths,379,Arkansas,2 2016
1582,AR,2016,1,Number of Drug Overdose Deaths,378,Arkansas,1 2016
1591,AR,2016,7,Number of Drug Overdose Deaths,378,Arkansas,7 2016
1606,AR,2016,6,Number of Drug Overdose Deaths,369,Arkansas,6 2016
1617,AR,2016,3,Number of Drug Overdose Deaths,363,Arkansas,3 2016
1628,AR,2016,5,Number of Drug Overdose Deaths,376,Arkansas,5 2016
1639,AR,2016,11,Number of Drug Overdose Deaths,378,Arkansas,11 2016
1653,AR,2016,10,Number of Drug Overdose Deaths,372,Arkansas,10 2016
1665,AR,2016,9,Number of Drug Overdose Deaths,379,Arkansas,9 2016
1678,AR,2017,4,Number of Drug Overdose Deaths,386,Arkansas,4 2017
1691,AR,2017,8,Number of Drug Overdose Deaths,406,Arkansas,8 2017
1703,AR,2017,12,Number of Drug Overdose Deaths,425,Arkansas,12 2017
1713,AR,2017,2,Number of Drug Overdose Deaths,380,Arkansas,2 2017
1727,AR,2017,1,Number of Drug Overdose Deaths,384,Arkansas,1 2017
1738,AR,2017,7,Number of Drug Overdose Deaths,395,Arkansas,7 2017
1745,AR,2017,6,Number of Drug Overdose Deaths,398,Arkansas,6 2017
1761,AR,2017,3,Number of Drug Overdose Deaths,384,Arkansas,3 2017
1774,AR,2017,5,Number of Drug Overdose Deaths,383,Arkansas,5 2017
1785,AR,2017,11,Number of Drug Overdose Deaths,411,Arkansas,11 2017
1796,AR,2017,10,Number of Drug Overdose Deaths,410,Arkansas,10 2017
1802,AR,2017,9,Number of Drug Overdose Deaths,413,Arkansas,9 2017
1820,AR,2018,4,Number of Drug Overdose Deaths,425,Arkansas,4 2018
1834,AR,2018,8,Number of Drug Overdose Deaths,455,Arkansas,8 2018
1847,AR,2018,12,Number of Drug Overdose Deaths,433,Arkansas,12 2018
1858,AR,2018,2,Number of Drug Overdose Deaths,424,Arkansas,2 2018
1870,AR,2018,1,Number of Drug Overdose Deaths,427,Arkansas,1 2018
1881,AR,2018,7,Number of Drug Overdose Deaths,451,Arkansas,7 2018
1894,AR,2018,6,Number of Drug Overdose Deaths,447,Arkansas,6 2018
1906,AR,2018,3,Number of Drug Overdose Deaths,430,Arkansas,3 2018
1919,AR,2018,5,Number of Drug Overdose Deaths,443,Arkansas,5 2018
1931,AR,2018,11,Number of Drug Overdose Deaths,446,Arkansas,11 2018
1938,AR,2018,10,Number of Drug Overdose Deaths,457,Arkansas,10 2018
1948,AR,2018,9,Number of Drug Overdose Deaths,448,Arkansas,9 2018
1960,AR,2019,4,Number of Drug Overdose Deaths,434,Arkansas,4 2019
1974,AR,2019,8,Number of Drug Overdose Deaths,355,Arkansas,8 2019
1990,AR,2019,12,Number of Drug Overdose Deaths,362,Arkansas,12 2019
2002,AR,2019,2,Number of Drug Overdose Deaths,451,Arkansas,2 2019
2006,AR,2019,1,Number of Drug Overdose Deaths,439,Arkansas,1 2019
2025,AR,2019,7,Number of Drug Overdose Deaths,381,Arkansas,7 2019
2038,AR,2019,6,Number of Drug Overdose Deaths,395,Arkansas,6 2019
2046,AR,2019,3,Number of Drug Overdose Deaths,437,Arkansas,3 2019
2063,AR,2019,5,Number of Drug Overdose Deaths,411,Arkansas,5 2019
2075,AR,2019,11,Number of Drug Overdose Deaths,363,Arkansas,11 2019
2084,AR,2019,10,Number of Drug Overdose Deaths,357,Arkansas,10 2019
2095,AR,2019,9,Number of Drug Overdose Deaths,354,Arkansas,9 2019
2111,AR,2020,4,Number of Drug Overdose Deaths,402,Arkansas,4 2020
2121,AR,2020,8,Number of Drug Overdose Deaths,481,Arkansas,8 2020
2132,AR,2020,12,Number of Drug Overdose Deaths,514,Arkansas,12 2020
2142,AR,2020,2,Number of Drug Overdose Deaths,370,Arkansas,2 2020
2159,AR,2020,1,Number of Drug Overdose Deaths,367,Arkansas,1 2020
2168,AR,2020,7,Number of Drug Overdose Deaths,460,Arkansas,7 2020
2182,AR,2020,6,Number of Drug Overdose Deaths,435,Arkansas,6 2020
2192,AR,2020,3,Number of Drug Overdose Deaths,384,Arkansas,3 2020
2203,AR,2020,5,Number of Drug Overdose Deaths,416,Arkansas,5 2020
2214,AR,2020,11,Number of Drug Overdose Deaths,506,Arkansas,11 2020
2225,AR,2020,10,Number of Drug Overdose Deaths,498,Arkansas,10 2020
2243,AR,2020,9,Number of Drug Overdose Deaths,492,Arkansas,9 2020
2255,AR,2021,4,Number of Drug Overdose Deaths,542,Arkansas,4 2021
2264,AR,2021,8,Number of Drug Overdose Deaths,570,Arkansas,8 2021
2273,AR,2021,12,Number of Drug Overdose Deaths,627,Arkansas,12 2021
2287,AR,2021,2,Number of Drug Overdose Deaths,525,Arkansas,2 2021
2298,AR,2021,1,Number of Drug Overdose Deaths,513,Arkansas,1 2021
2315,AR,2021,7,Number of Drug Overdose Deaths,553,Arkansas,7 2021
2326,AR,2021,6,Number of Drug Overdose Deaths,564,Arkansas,6 2021
2335,AR,2021,3,Number of Drug Overdose Deaths,536,Arkansas,3 2021
2350,AR,2021,5,Number of Drug Overdose Deaths,560,Arkansas,5 2021
2360,AR,2021,11,Number of Drug Overdose Deaths,607,Arkansas,11 2021
2374,AR,2021,10,Number of Drug Overdose Deaths,593,Arkansas,10 2021
2385,AR,2021,9,Number of Drug Overdose Deaths,585,Arkansas,9 2021
2393,AR,2022,4,Number of Drug Overdose Deaths,636,Arkansas,4 2022
2407,AR,2022,8,Number of Drug Overdose Deaths,616,Arkansas,8 2022
2416,AR,2022,2,Number of Drug Overdose Deaths,634,Arkansas,2 2022
2430,AR,2022,1,Number of Drug Overdose Deaths,634,Arkansas,1 2022
2441,AR,2022,7,Number of Drug Overdose Deaths,630,Arkansas,7 2022
2459,AR,2022,6,Number of Drug Overdose Deaths,620,Arkansas,6 2022
2467,AR,2022,3,Number of Drug Overdose Deaths,645,Arkansas,3 2022
2483,AR,2022,5,Number of Drug Overdose Deaths,628,Arkansas,5 2022
2489,AZ,2015,4,Number of Drug Overdose Deaths,"1,173",Arizona,4 2015
2506,AZ,2015,8,Number of Drug Overdose Deaths,"1,240",Arizona,8 2015
2509,AZ,2015,12,Number of Drug Overdose Deaths,"1,267",Arizona,12 2015
2530,AZ,2015,2,Number of Drug Overdose Deaths,"1,175",Arizona,2 2015
2543,AZ,2015,1,Number of Drug Overdose Deaths,"1,193",Arizona,1 2015
2555,AZ,2015,7,Number of Drug Overdose Deaths,"1,201",Arizona,7 2015
2563,AZ,2015,6,Number of Drug Overdose Deaths,"1,209",Arizona,6 2015
2573,AZ,2015,3,Number of Drug Overdose Deaths,"1,174",Arizona,3 2015
2589,AZ,2015,5,Number of Drug Overdose Deaths,"1,184",Arizona,5 2015
2595,AZ,2015,11,Number of Drug Overdose Deaths,"1,269",Arizona,11 2015
2613,AZ,2015,10,Number of Drug Overdose Deaths,"1,264",Arizona,10 2015
2616,AZ,2015,9,Number of Drug Overdose Deaths,"1,241",Arizona,9 2015
2635,AZ,2016,4,Number of Drug Overdose Deaths,"1,335",Arizona,4 2016
2650,AZ,2016,8,Number of Drug Overdose Deaths,"1,410",Arizona,8 2016
2655,AZ,2016,12,Number of Drug Overdose Deaths,"1,393",Arizona,12 2016
2671,AZ,2016,2,Number of Drug Overdose Deaths,"1,307",Arizona,2 2016
2686,AZ,2016,1,Number of Drug Overdose Deaths,"1,298",Arizona,1 2016
2695,AZ,2016,7,Number of Drug Overdose Deaths,"1,421",Arizona,7 2016
2710,AZ,2016,6,Number of Drug Overdose Deaths,"1,370",Arizona,6 2016
2721,AZ,2016,3,Number of Drug Overdose Deaths,"1,313",Arizona,3 2016
2732,AZ,2016,5,Number of Drug Overdose Deaths,"1,350",Arizona,5 2016
2743,AZ,2016,11,Number of Drug Overdose Deaths,"1,397",Arizona,11 2016
2757,AZ,2016,10,Number of Drug Overdose Deaths,"1,405",Arizona,10 2016
2769,AZ,2016,9,Number of Drug Overdose Deaths,"1,404",Arizona,9 2016
2782,AZ,2017,4,Number of Drug Overdose Deaths,"1,418",Arizona,4 2017
2795,AZ,2017,8,Number of Drug Overdose Deaths,"1,468",Arizona,8 2017
2807,AZ,2017,12,Number of Drug Overdose Deaths,"1,555",Arizona,12 2017
2817,AZ,2017,2,Number of Drug Overdose Deaths,"1,411",Arizona,2 2017
2831,AZ,2017,1,Number of Drug Overdose Deaths,"1,417",Arizona,1 2017
2842,AZ,2017,7,Number of Drug Overdose Deaths,"1,450",Arizona,7 2017
2849,AZ,2017,6,Number of Drug Overdose Deaths,"1,455",Arizona,6 2017
2865,AZ,2017,3,Number of Drug Overdose Deaths,"1,429",Arizona,3 2017
2878,AZ,2017,5,Number of Drug Overdose Deaths,"1,437",Arizona,5 2017
2889,AZ,2017,11,Number of Drug Overdose Deaths,"1,517",Arizona,11 2017
2900,AZ,2017,10,Number of Drug Overdose Deaths,"1,503",Arizona,10 2017
2906,AZ,2017,9,Number of Drug Overdose Deaths,"1,492",Arizona,9 2017
2924,AZ,2018,4,Number of Drug Overdose Deaths,"1,611",Arizona,4 2018
2938,AZ,2018,8,Number of Drug Overdose Deaths,"1,676",Arizona,8 2018
2951,AZ,2018,12,Number of Drug Overdose Deaths,"1,730",Arizona,12 2018
2962,AZ,2018,2,Number of Drug Overdose Deaths,"1,582",Arizona,2 2018
2974,AZ,2018,1,Number of Drug Overdose Deaths,"1,571",Arizona,1 2018
2985,AZ,2018,7,Number of Drug Overdose Deaths,"1,652",Arizona,7 2018
2998,AZ,2018,6,Number of Drug Overdose Deaths,"1,606",Arizona,6 2018
3010,AZ,2018,3,Number of Drug Overdose Deaths,"1,594",Arizona,3 2018
3023,AZ,2018,5,Number of Drug Overdose Deaths,"1,607",Arizona,5 2018
3035,AZ,2018,11,Number of Drug Overdose Deaths,"1,706",Arizona,11 2018
3042,AZ,2018,10,Number of Drug Overdose Deaths,"1,672",Arizona,10 2018
3052,AZ,2018,9,Number of Drug Overdose Deaths,"1,676",Arizona,9 2018
3064,AZ,2019,4,Number of Drug Overdose Deaths,"1,768",Arizona,4 2019
3078,AZ,2019,8,Number of Drug Overdose Deaths,"1,830",Arizona,8 2019
3094,AZ,2019,12,Number of Drug Overdose Deaths,"1,981",Arizona,12 2019
3106,AZ,2019,2,Number of Drug Overdose Deaths,"1,747",Arizona,2 2019
3110,AZ,2019,1,Number of Drug Overdose Deaths,"1,725",Arizona,1 2019
3129,AZ,2019,7,Number of Drug Overdose Deaths,"1,815",Arizona,7 2019
3142,AZ,2019,6,Number of Drug Overdose Deaths,"1,778",Arizona,6 2019
3150,AZ,2019,3,Number of Drug Overdose Deaths,"1,764",Arizona,3 2019
3167,AZ,2019,5,Number of Drug Overdose Deaths,"1,784",Arizona,5 2019
3179,AZ,2019,11,Number of Drug Overdose Deaths,"1,952",Arizona,11 2019
3188,AZ,2019,10,Number of Drug Overdose Deaths,"1,945",Arizona,10 2019
3199,AZ,2019,9,Number of Drug Overdose Deaths,"1,899",Arizona,9 2019
3215,AZ,2020,4,Number of Drug Overdose Deaths,"2,146",Arizona,4 2020
3225,AZ,2020,8,Number of Drug Overdose Deaths,"2,586",Arizona,8 2020
3236,AZ,2020,12,Number of Drug Overdose Deaths,"2,644",Arizona,12 2020
3246,AZ,2020,2,Number of Drug Overdose Deaths,"2,064",Arizona,2 2020
3263,AZ,2020,1,Number of Drug Overdose Deaths,"2,025",Arizona,1 2020
3272,AZ,2020,7,Number of Drug Overdose Deaths,"2,470",Arizona,7 2020
3286,AZ,2020,6,Number of Drug Overdose Deaths,"2,361",Arizona,6 2020
3296,AZ,2020,3,Number of Drug Overdose Deaths,"2,101",Arizona,3 2020
3307,AZ,2020,5,Number of Drug Overdose Deaths,"2,220",Arizona,5 2020
3318,AZ,2020,11,Number of Drug Overdose Deaths,"2,649",Arizona,11 2020
3329,AZ,2020,10,Number of Drug Overdose Deaths,"2,615",Arizona,10 2020
3347,AZ,2020,9,Number of Drug Overdose Deaths,"2,585",Arizona,9 2020
3359,AZ,2021,4,Number of Drug Overdose Deaths,"2,745",Arizona,4 2021
3368,AZ,2021,8,Number of Drug Overdose Deaths,"2,677",Arizona,8 2021
3377,AZ,2021,12,Number of Drug Overdose Deaths,"2,780",Arizona,12 2021
3391,AZ,2021,2,Number of Drug Overdose Deaths,"2,692",Arizona,2 2021
3402,AZ,2021,1,Number of Drug Overdose Deaths,"2,671",Arizona,1 2021
3419,AZ,2021,7,Number of Drug Overdose Deaths,"2,694",Arizona,7 2021
3430,AZ,2021,6,Number of Drug Overdose Deaths,"2,752",Arizona,6 2021
3439,AZ,2021,3,Number of Drug Overdose Deaths,"2,710",Arizona,3 2021
