Year,Month,Indicator,Value,State
2020,December,Number of Drug Overdose Deaths,146,Alaska
2020,February,Number of Drug Overdose Deaths,125,Alaska
2020,January,Number of Drug Overdose Deaths,134,Alaska
2020,July,Number of Drug Overdose Deaths,135,Alaska
2020,June,Number of Drug Overdose Deaths,132,Alaska
2020,March,Number of Drug Overdose Deaths,117,Alaska
2020,May,Number of Drug Overdose Deaths,128,Alaska
2020,November,Number of Drug Overdose Deaths,141,Alaska
2020,October,Number of Drug Overdose Deaths,134,Alaska
2020,September,Number of Drug Overdose Deaths,140,Alaska
2021,April,Number of Drug Overdose Deaths,178,Alaska
2021,August,Number of Drug Overdose Deaths,218,Alaska
2021,December,Number of Drug Overdose Deaths,255,Alaska
2021,February,Number of Drug Overdose Deaths,152,Alaska
2021,January,Number of Drug Overdose Deaths,145,Alaska
2021,July,Number of Drug Overdose Deaths,202,Alaska
2021,June,Number of Drug Overdose Deaths,193,Alaska
2021,March,Number of Drug Overdose Deaths,171,Alaska
2021,May,Number of Drug Overdose Deaths,188,Alaska
2021,November,Number of Drug Overdose Deaths,253,Alaska
2021,October,Number of Drug Overdose Deaths,238,Alaska
2021,September,Number of Drug Overdose Deaths,223,Alaska
2022,April,Number of Drug Overdose Deaths,257,Alaska
2022,August,Number of Drug Overdose Deaths,247,Alaska
2022,February,Number of Drug Overdose Deaths,257,Alaska
2022,January,Number of Drug Overdose Deaths,253,Alaska
2022,July,Number of Drug Overdose Deaths,253,Alaska
2022,June,Number of Drug Overdose Deaths,254,Alaska
2022,March,Number of Drug Overdose Deaths,257,Alaska
2022,May,Number of Drug Overdose Deaths,245,Alaska
2015,April,Number of Drug Overdose Deaths,738,Alabama
2015,August,Number of Drug Overdose Deaths,736,Alabama
2015,December,Number of Drug Overdose Deaths,720,Alabama
2015,February,Number of Drug Overdose Deaths,723,Alabama
2015,January,Number of Drug Overdose Deaths,715,Alabama
2015,July,Number of Drug Overdose Deaths,743,Alabama
2015,June,Number of Drug Overdose Deaths,756,Alabama
2015,March,Number of Drug Overdose Deaths,733,Alabama
2015,May,Number of Drug Overdose Deaths,755,Alabama
2015,November,Number of Drug Overdose Deaths,725,Alabama
2015,October,Number of Drug Overdose Deaths,730,Alabama
2015,September,Number of Drug Overdose Deaths,744,Alabama
2016,April,Number of Drug Overdose Deaths,676,Alabama
2016,August,Number of Drug Overdose Deaths,685,Alabama
2016,December,Number of Drug Overdose Deaths,740,Alabama
2016,February,Number of Drug Overdose Deaths,710,Alabama
2016,January,Number of Drug Overdose Deaths,706,Alabama
2016,July,Number of Drug Overdose Deaths,681,Alabama
2016,June,Number of Drug Overdose Deaths,674,Alabama
2016,March,Number of Drug Overdose Deaths,681,Alabama
2016,May,Number of Drug Overdose Deaths,654,Alabama
2016,November,Number of Drug Overdose Deaths,718,Alabama
2016,October,Number of Drug Overdose Deaths,704,Alabama
2016,September,Number of Drug Overdose Deaths,695,Alabama
2017,April,Number of Drug Overdose Deaths,795,Alabama
2017,August,Number of Drug Overdose Deaths,808,Alabama
2017,December,Number of Drug Overdose Deaths,807,Alabama
2017,February,Number of Drug Overdose Deaths,759,Alabama
2017,January,Number of Drug Overdose Deaths,763,Alabama
2017,July,Number of Drug Overdose Deaths,809,Alabama
2017,June,Number of Drug Overdose Deaths,804,Alabama
2017,March,Number of Drug Overdose Deaths,794,Alabama
2017,May,Number of Drug Overdose Deaths,812,Alabama
2017,November,Number of Drug Overdose Deaths,799,Alabama
2017,October,Number of Drug Overdose Deaths,801,Alabama
2017,September,Number of Drug Overdose Deaths,800,Alabama
2018,April,Number of Drug Overdose Deaths,785,Alabama
2018,August,Number of Drug Overdose Deaths,745,Alabama
2018,December,Number of Drug Overdose Deaths,740,Alabama
2018,February,Number of Drug Overdose Deaths,799,Alabama
2018,January,Number of Drug Overdose Deaths,785,Alabama
2018,July,Number of Drug Overdose Deaths,759,Alabama
2018,June,Number of Drug Overdose Deaths,764,Alabama
2018,March,Number of Drug Overdose Deaths,785,Alabama
2018,May,Number of Drug Overdose Deaths,787,Alabama
2018,November,Number of Drug Overdose Deaths,744,Alabama
2018,October,Number of Drug Overdose Deaths,751,Alabama
2018,September,Number of Drug Overdose Deaths,754,Alabama
2019,April,Number of Drug Overdose Deaths,699,Alabama
2019,August,Number of Drug Overdose Deaths,731,Alabama
2019,December,Number of Drug Overdose Deaths,739,Alabama
2019,February,Number of Drug Overdose Deaths,703,Alabama
2019,January,Number of Drug Overdose Deaths,724,Alabama
2019,July,Number of Drug Overdose Deaths,715,Alabama
2019,June,Number of Drug Overdose Deaths,720,Alabama
2019,March,Number of Drug Overdose Deaths,701,Alabama
2019,May,Number of Drug Overdose Deaths,699,Alabama
2019,November,Number of Drug Overdose Deaths,750,Alabama
2019,October,Number of Drug Overdose Deaths,743,Alabama
2019,September,Number of Drug Overdose Deaths,719,Alabama
2020,April,Number of Drug Overdose Deaths,826,Alabama
2020,August,Number of Drug Overdose Deaths,934,Alabama
2020,December,Number of Drug Overdose Deaths,989,Alabama
2020,February,Number of Drug Overdose Deaths,772,Alabama
2020,January,Number of Drug Overdose Deaths,754,Alabama
2020,July,Number of Drug Overdose Deaths,919,Alabama
2020,June,Number of Drug Overdose Deaths,902,Alabama
2020,March,Number of Drug Overdose Deaths,791,Alabama
2020,May,Number of Drug Overdose Deaths,879,Alabama
2020,November,Number of Drug Overdose Deaths,960,Alabama
2020,October,Number of Drug Overdose Deaths,946,Alabama
2020,September,Number of Drug Overdose Deaths,952,Alabama
2021,April,Number of Drug Overdose Deaths,"1,124",Alabama
2021,August,Number of Drug Overdose Deaths,"1,193",Alabama
2021,December,Number of Drug Overdose Deaths,"1,333",Alabama
2021,February,Number of Drug Overdose Deaths,"1,047",Alabama
2021,January,Number of Drug Overdose Deaths,"1,032",Alabama
2021,July,Number of Drug Overdose Deaths,"1,165",Alabama
2021,June,Number of Drug Overdose Deaths,"1,138",Alabama
2021,March,Number of Drug Overdose Deaths,"1,091",Alabama
2021,May,Number of Drug Overdose Deaths,"1,123",Alabama
2021,November,Number of Drug Overdose Deaths,"1,308",Alabama
2021,October,Number of Drug Overdose Deaths,"1,295",Alabama
2021,September,Number of Drug Overdose Deaths,"1,247",Alabama
2022,April,Number of Drug Overdose Deaths,"1,331",Alabama
2022,August,Number of Drug Overdose Deaths,"1,346",Alabama
2022,February,Number of Drug Overdose Deaths,"1,363",Alabama
2022,January,Number of Drug Overdose Deaths,"1,329",Alabama
2022,July,Number of Drug Overdose Deaths,"1,352",Alabama
2022,June,Number of Drug Overdose Deaths,"1,333",Alabama
2022,March,Number of Drug Overdose Deaths,"1,344",Alabama
2022,May,Number of Drug Overdose Deaths,"1,338",Alabama
2015,April,Number of Drug Overdose Deaths,373,Arkansas
2015,August,Number of Drug Overdose Deaths,398,Arkansas
2015,December,Number of Drug Overdose Deaths,381,Arkansas
2015,February,Number of Drug Overdose Deaths,366,Arkansas
2015,January,Number of Drug Overdose Deaths,366,Arkansas
2015,July,Number of Drug Overdose Deaths,395,Arkansas
2015,June,Number of Drug Overdose Deaths,391,Arkansas
2015,March,Number of Drug Overdose Deaths,385,Arkansas
2015,May,Number of Drug Overdose Deaths,383,Arkansas
2015,November,Number of Drug Overdose Deaths,389,Arkansas
2015,October,Number of Drug Overdose Deaths,397,Arkansas
2015,September,Number of Drug Overdose Deaths,392,Arkansas
2016,April,Number of Drug Overdose Deaths,372,Arkansas
2016,August,Number of Drug Overdose Deaths,383,Arkansas
2016,December,Number of Drug Overdose Deaths,386,Arkansas
2016,February,Number of Drug Overdose Deaths,379,Arkansas
2016,January,Number of Drug Overdose Deaths,378,Arkansas
2016,July,Number of Drug Overdose Deaths,378,Arkansas
2016,June,Number of Drug Overdose Deaths,369,Arkansas
2016,March,Number of Drug Overdose Deaths,363,Arkansas
2016,May,Number of Drug Overdose Deaths,376,Arkansas
2016,November,Number of Drug Overdose Deaths,378,Arkansas
2016,October,Number of Drug Overdose Deaths,372,Arkansas
2016,September,Number of Drug Overdose Deaths,379,Arkansas
2017,April,Number of Drug Overdose Deaths,386,Arkansas
2017,August,Number of Drug Overdose Deaths,406,Arkansas
2017,December,Number of Drug Overdose Deaths,425,Arkansas
2017,February,Number of Drug Overdose Deaths,380,Arkansas
2017,January,Number of Drug Overdose Deaths,384,Arkansas
2017,July,Number of Drug Overdose Deaths,395,Arkansas
2017,June,Number of Drug Overdose Deaths,398,Arkansas
2017,March,Number of Drug Overdose Deaths,384,Arkansas
2017,May,Number of Drug Overdose Deaths,383,Arkansas
2017,November,Number of Drug Overdose Deaths,411,Arkansas
2017,October,Number of Drug Overdose Deaths,410,Arkansas
2017,September,Number of Drug Overdose Deaths,413,Arkansas
2018,April,Number of Drug Overdose Deaths,425,Arkansas
2018,August,Number of Drug Overdose Deaths,455,Arkansas
2018,December,Number of Drug Overdose Deaths,433,Arkansas
2018,February,Number of Drug Overdose Deaths,424,Arkansas
2018,January,Number of Drug Overdose Deaths,427,Arkansas
2018,July,Number of Drug Overdose Deaths,451,Arkansas
2018,June,Number of Drug Overdose Deaths,447,Arkansas
2018,March,Number of Drug Overdose Deaths,430,Arkansas
2018,May,Number of Drug Overdose Deaths,443,Arkansas
2018,November,Number of Drug Overdose Deaths,446,Arkansas
2018,October,Number of Drug Overdose Deaths,457,Arkansas
2018,September,Number of Drug Overdose Deaths,448,Arkansas
2019,April,Number of Drug Overdose Deaths,434,Arkansas
2019,August,Number of Drug Overdose Deaths,355,Arkansas
2019,December,Number of Drug Overdose Deaths,362,Arkansas
2019,February,Number of Drug Overdose Deaths,451,Arkansas
2019,January,Number of Drug Overdose Deaths,439,Arkansas
2019,July,Number of Drug Overdose Deaths,381,Arkansas
2019,June,Number of Drug Overdose Deaths,395,Arkansas
2019,March,Number of Drug Overdose Deaths,437,Arkansas
2019,May,Number of Drug Overdose Deaths,411,Arkansas
2019,November,Number of Drug Overdose Deaths,363,Arkansas
2019,October,Number of Drug Overdose Deaths,357,Arkansas
2019,September,Number of Drug Overdose Deaths,354,Arkansas
2020,April,Number of Drug Overdose Deaths,402,Arkansas
2020,August,Number of Drug Overdose Deaths,481,Arkansas
2020,December,Number of Drug Overdose Deaths,514,Arkansas
2020,February,Number of Drug Overdose Deaths,370,Arkansas
2020,January,Number of Drug Overdose Deaths,367,Arkansas
2020,July,Number of Drug Overdose Deaths,460,Arkansas
2020,June,Number of Drug Overdose Deaths,435,Arkansas
2020,March,Number of Drug Overdose Deaths,384,Arkansas
2020,May,Number of Drug Overdose Deaths,416,Arkansas
2020,November,Number of Drug Overdose Deaths,506,Arkansas
2020,October,Number of Drug Overdose Deaths,498,Arkansas
2020,September,Number of Drug Overdose Deaths,492,Arkansas
2021,April,Number of Drug Overdose Deaths,542,Arkansas
2021,August,Number of Drug Overdose Deaths,570,Arkansas
2021,December,Number of Drug Overdose Deaths,627,Arkansas
2021,February,Number of Drug Overdose Deaths,525,Arkansas
2021,January,Number of Drug Overdose Deaths,513,Arkansas
2021,July,Number of Drug Overdose Deaths,553,Arkansas
2021,June,Number of Drug Overdose Deaths,564,Arkansas
2021,March,Number of Drug Overdose Deaths,536,Arkansas
2021,May,Number of Drug Overdose Deaths,560,Arkansas
2021,November,Number of Drug Overdose Deaths,607,Arkansas
2021,October,Number of Drug Overdose Deaths,593,Arkansas
2021,September,Number of Drug Overdose Deaths,585,Arkansas
2022,April,Number of Drug Overdose Deaths,636,Arkansas
2022,August,Number of Drug Overdose Deaths,616,Arkansas
2022,February,Number of Drug Overdose Deaths,634,Arkansas
2022,January,Number of Drug Overdose Deaths,634,Arkansas
2022,July,Number of Drug Overdose Deaths,630,Arkansas
2022,June,Number of Drug Overdose Deaths,620,Arkansas
2022,March,Number of Drug Overdose Deaths,645,Arkansas
2022,May,Number of Drug Overdose Deaths,628,Arkansas
2015,April,Number of Drug Overdose Deaths,"1,173",Arizona
2015,August,Number of Drug Overdose Deaths,"1,240",Arizona
2015,December,Number of Drug Overdose Deaths,"1,267",Arizona
2015,February,Number of Drug Overdose Deaths,"1,175",Arizona
2015,January,Number of Drug Overdose Deaths,"1,193",Arizona
2015,July,Number of Drug Overdose Deaths,"1,201",Arizona
2015,June,Number of Drug Overdose Deaths,"1,209",Arizona
2015,March,Number of Drug Overdose Deaths,"1,174",Arizona
2015,May,Number of Drug Overdose Deaths,"1,184",Arizona
2015,November,Number of Drug Overdose Deaths,"1,269",Arizona
2015,October,Number of Drug Overdose Deaths,"1,264",Arizona
2015,September,Number of Drug Overdose Deaths,"1,241",Arizona
2016,April,Number of Drug Overdose Deaths,"1,335",Arizona
2016,August,Number of Drug Overdose Deaths,"1,410",Arizona
2016,December,Number of Drug Overdose Deaths,"1,393",Arizona
2016,February,Number of Drug Overdose Deaths,"1,307",Arizona
2016,January,Number of Drug Overdose Deaths,"1,298",Arizona
2016,July,Number of Drug Overdose Deaths,"1,421",Arizona
2016,June,Number of Drug Overdose Deaths,"1,370",Arizona
2016,March,Number of Drug Overdose Deaths,"1,313",Arizona
2016,May,Number of Drug Overdose Deaths,"1,350",Arizona
2016,November,Number of Drug Overdose Deaths,"1,397",Arizona
2016,October,Number of Drug Overdose Deaths,"1,405",Arizona
2016,September,Number of Drug Overdose Deaths,"1,404",Arizona
2017,April,Number of Drug Overdose Deaths,"1,418",Arizona
2017,August,Number of Drug Overdose Deaths,"1,468",Arizona
2017,December,Number of Drug Overdose Deaths,"1,555",Arizona
2017,February,Number of Drug Overdose Deaths,"1,411",Arizona
2017,January,Number of Drug Overdose Deaths,"1,417",Arizona
2017,July,Number of Drug Overdose Deaths,"1,450",Arizona
2017,June,Number of Drug Overdose Deaths,"1,455",Arizona
2017,March,Number of Drug Overdose Deaths,"1,429",Arizona
2017,May,Number of Drug Overdose Deaths,"1,437",Arizona
2017,November,Number of Drug Overdose Deaths,"1,517",Arizona
2017,October,Number of Drug Overdose Deaths,"1,503",Arizona
2017,September,Number of Drug Overdose Deaths,"1,492",Arizona
2018,April,Number of Drug Overdose Deaths,"1,611",Arizona
2018,August,Number of Drug Overdose Deaths,"1,676",Arizona
2018,December,Number of Drug Overdose Deaths,"1,730",Arizona
2018,February,Number of Drug Overdose Deaths,"1,582",Arizona
2018,January,Number of Drug Overdose Deaths,"1,571",Arizona
2018,July,Number of Drug Overdose Deaths,"1,652",Arizona
2018,June,Number of Drug Overdose Deaths,"1,606",Arizona
2018,March,Number of Drug Overdose Deaths,"1,594",Arizona
2018,May,Number of Drug Overdose Deaths,"1,607",Arizona
2018,November,Number of Drug Overdose Deaths,"1,706",Arizona
2018,October,Number of Drug Overdose Deaths,"1,672",Arizona
2018,September,Number of Drug Overdose Deaths,"1,676",Arizona
2019,April,Number of Drug Overdose Deaths,"1,768",Arizona
2019,August,Number of Drug Overdose Deaths,"1,830",Arizona
2019,December,Number of Drug Overdose Deaths,"1,981",Arizona
2019,February,Number of Drug Overdose Deaths,"1,747",Arizona
2019,January,Number of Drug Overdose Deaths,"1,725",Arizona
2019,July,Number of Drug Overdose Deaths,"1,815",Arizona
2019,June,Number of Drug Overdose Deaths,"1,778",Arizona
2019,March,Number of Drug Overdose Deaths,"1,764",Arizona
2019,May,Number of Drug Overdose Deaths,"1,784",Arizona
2019,November,Number of Drug Overdose Deaths,"1,952",Arizona
2019,October,Number of Drug Overdose Deaths,"1,945",Arizona
2019,September,Number of Drug Overdose Deaths,"1,899",Arizona
2020,April,Number of Drug Overdose Deaths,"2,146",Arizona
2020,August,Number of Drug Overdose Deaths,"2,586",Arizona
2020,December,Number of Drug Overdose Deaths,"2,644",Arizona
2020,February,Number of Drug Overdose Deaths,"2,064",Arizona
2020,January,Number of Drug Overdose Deaths,"2,025",Arizona
2020,July,Number of Drug Overdose Deaths,"2,470",Arizona
2020,June,Number of Drug Overdose Deaths,"2,361",Arizona
2020,March,Number of Drug Overdose Deaths,"2,101",Arizona
2020,May,Number of Drug Overdose Deaths,"2,220",Arizona
2020,November,Number of Drug Overdose Deaths,"2,649",Arizona
2020,October,Number of Drug Overdose Deaths,"2,615",Arizona
2020,September,Number of Drug Overdose Deaths,"2,585",Arizona
2021,April,Number of Drug Overdose Deaths,"2,745",Arizona
2021,August,Number of Drug Overdose Deaths,"2,677",Arizona
2021,December,Number of Drug Overdose Deaths,"2,780",Arizona
2021,February,Number of Drug Overdose Deaths,"2,692",Arizona
2021,January,Number of Drug Overdose Deaths,"2,671",Arizona
2021,July,Number of Drug Overdose Deaths,"2,694",Arizona
2021,June,Number of Drug Overdose Deaths,"2,752",Arizona
2021,March,Number of Drug Overdose Deaths,"2,710",Arizona
2021,May,Number of Drug Overdose Deaths,"2,777",Arizona
2021,November,Number of Drug Overdose Deaths,"2,721",Arizona
2021,October,Number of Drug Overdose Deaths,"2,728",Arizona
2021,September,Number of Drug Overdose Deaths,"2,712",Arizona
2022,April,Number of Drug Overdose Deaths,"2,748",Arizona
2022,August,Number of Drug Overdose Deaths,"2,731",Arizona
2022,February,Number of Drug Overdose Deaths,"2,770",Arizona
2022,January,Number of Drug Overdose Deaths,"2,772",Arizona
2022,July,Number of Drug Overdose Deaths,"2,774",Arizona
2022,June,Number of Drug Overdose Deaths,"2,678",Arizona
2022,March,Number of Drug Overdose Deaths,"2,768",Arizona
2022,May,Number of Drug Overdose Deaths,"2,698",Arizona
2015,April,Number of Drug Overdose Deaths,"4,625",California
2015,August,Number of Drug Overdose Deaths,"4,670",California
2015,December,Number of Drug Overdose Deaths,"4,762",California
2015,February,Number of Drug Overdose Deaths,"4,616",California
2015,January,Number of Drug Overdose Deaths,"4,603",California
2015,July,Number of Drug Overdose Deaths,"4,628",California
2015,June,Number of Drug Overdose Deaths,"4,604",California
2015,March,Number of Drug Overdose Deaths,"4,608",California
2015,May,Number of Drug Overdose Deaths,"4,607",California
2015,November,Number of Drug Overdose Deaths,"4,747",California
2015,October,Number of Drug Overdose Deaths,"4,784",California
2015,September,Number of Drug Overdose Deaths,"4,747",California
2016,April,Number of Drug Overdose Deaths,"4,795",California
2016,August,Number of Drug Overdose Deaths,"4,791",California
2016,December,Number of Drug Overdose Deaths,"4,755",California
2016,February,Number of Drug Overdose Deaths,"4,745",California
2016,January,Number of Drug Overdose Deaths,"4,745",California
2016,July,Number of Drug Overdose Deaths,"4,816",California
2016,June,Number of Drug Overdose Deaths,"4,844",California
2016,March,Number of Drug Overdose Deaths,"4,768",California
2016,May,Number of Drug Overdose Deaths,"4,811",California
2016,November,Number of Drug Overdose Deaths,"4,709",California
2016,October,Number of Drug Overdose Deaths,"4,659",California
2016,September,Number of Drug Overdose Deaths,"4,716",California
2017,April,Number of Drug Overdose Deaths,"4,714",California
2017,August,Number of Drug Overdose Deaths,"4,900",California
2017,December,Number of Drug Overdose Deaths,"5,028",California
2017,February,Number of Drug Overdose Deaths,"4,724",California
2017,January,Number of Drug Overdose Deaths,"4,771",California
2017,July,Number of Drug Overdose Deaths,"4,870",California
2017,June,Number of Drug Overdose Deaths,"4,808",California
2017,March,Number of Drug Overdose Deaths,"4,721",California
2017,May,Number of Drug Overdose Deaths,"4,761",California
2017,November,Number of Drug Overdose Deaths,"5,059",California
2017,October,Number of Drug Overdose Deaths,"5,078",California
2017,September,Number of Drug Overdose Deaths,"4,972",California
2018,April,Number of Drug Overdose Deaths,"5,201",California
2018,August,Number of Drug Overdose Deaths,"5,289",California
2018,December,Number of Drug Overdose Deaths,"5,494",California
2018,February,Number of Drug Overdose Deaths,"5,174",California
2018,January,Number of Drug Overdose Deaths,"5,092",California
2018,July,Number of Drug Overdose Deaths,"5,209",California
2018,June,Number of Drug Overdose Deaths,"5,192",California
2018,March,Number of Drug Overdose Deaths,"5,195",California
2018,May,Number of Drug Overdose Deaths,"5,164",California
2018,November,Number of Drug Overdose Deaths,"5,400",California
2018,October,Number of Drug Overdose Deaths,"5,370",California
2018,September,Number of Drug Overdose Deaths,"5,341",California
2019,April,Number of Drug Overdose Deaths,"5,700",California
2019,August,Number of Drug Overdose Deaths,"6,041",California
2019,December,Number of Drug Overdose Deaths,"6,363",California
2019,February,Number of Drug Overdose Deaths,"5,555",California
2019,January,Number of Drug Overdose Deaths,"5,515",California
2019,July,Number of Drug Overdose Deaths,"5,945",California
2019,June,Number of Drug Overdose Deaths,"5,883",California
2019,March,Number of Drug Overdose Deaths,"5,623",California
2019,May,Number of Drug Overdose Deaths,"5,801",California
2019,November,Number of Drug Overdose Deaths,"6,285",California
2019,October,Number of Drug Overdose Deaths,"6,133",California
2019,September,Number of Drug Overdose Deaths,"6,091",California
2020,April,Number of Drug Overdose Deaths,"6,961",California
2020,August,Number of Drug Overdose Deaths,"8,220",California
2020,December,Number of Drug Overdose Deaths,"9,209",California
2020,February,Number of Drug Overdose Deaths,"6,591",California
2020,January,Number of Drug Overdose Deaths,"6,455",California
2020,July,Number of Drug Overdose Deaths,"7,793",California
2020,June,Number of Drug Overdose Deaths,"7,444",California
2020,March,Number of Drug Overdose Deaths,"6,746",California
2020,May,Number of Drug Overdose Deaths,"7,224",California
2020,November,Number of Drug Overdose Deaths,"8,940",California
2020,October,Number of Drug Overdose Deaths,"8,749",California
2020,September,Number of Drug Overdose Deaths,"8,480",California
2021,April,Number of Drug Overdose Deaths,"10,365",California
2021,August,Number of Drug Overdose Deaths,"10,888",California
2021,December,Number of Drug Overdose Deaths,"11,398",California
2021,February,Number of Drug Overdose Deaths,"9,852",California
2021,January,Number of Drug Overdose Deaths,"9,629",California
2021,July,Number of Drug Overdose Deaths,"10,876",California
2021,June,Number of Drug Overdose Deaths,"10,765",California
2021,March,Number of Drug Overdose Deaths,"10,122",California
2021,May,Number of Drug Overdose Deaths,"10,553",California
2021,November,Number of Drug Overdose Deaths,"11,348",California
2021,October,Number of Drug Overdose Deaths,"11,207",California
2021,September,Number of Drug Overdose Deaths,"11,062",California
2022,April,Number of Drug Overdose Deaths,"11,242",California
2022,August,Number of Drug Overdose Deaths,"9,970",California
2022,February,Number of Drug Overdose Deaths,"11,393",California
2022,January,Number of Drug Overdose Deaths,"11,326",California
2022,July,Number of Drug Overdose Deaths,"10,500",California
2022,June,Number of Drug Overdose Deaths,"10,854",California
2022,March,Number of Drug Overdose Deaths,"11,309",California
2022,May,Number of Drug Overdose Deaths,"11,075",California
2015,April,Number of Drug Overdose Deaths,950,Colorado
2015,August,Number of Drug Overdose Deaths,928,Colorado
2015,December,Number of Drug Overdose Deaths,913,Colorado
2015,February,Number of Drug Overdose Deaths,932,Colorado
2015,January,Number of Drug Overdose Deaths,923,Colorado
2015,July,Number of Drug Overdose Deaths,918,Colorado
2015,June,Number of Drug Overdose Deaths,921,Colorado
2015,March,Number of Drug Overdose Deaths,939,Colorado
2015,May,Number of Drug Overdose Deaths,927,Colorado
2015,November,Number of Drug Overdose Deaths,908,Colorado
2015,October,Number of Drug Overdose Deaths,915,Colorado
2015,September,Number of Drug Overdose Deaths,917,Colorado
2016,April,Number of Drug Overdose Deaths,894,Colorado
2016,August,Number of Drug Overdose Deaths,934,Colorado
2016,December,Number of Drug Overdose Deaths,965,Colorado
2016,February,Number of Drug Overdose Deaths,912,Colorado
2016,January,Number of Drug Overdose Deaths,913,Colorado
2016,July,Number of Drug Overdose Deaths,928,Colorado
2016,June,Number of Drug Overdose Deaths,935,Colorado
2016,March,Number of Drug Overdose Deaths,908,Colorado
2016,May,Number of Drug Overdose Deaths,915,Colorado
2016,November,Number of Drug Overdose Deaths,952,Colorado
2016,October,Number of Drug Overdose Deaths,948,Colorado
2016,September,Number of Drug Overdose Deaths,933,Colorado
2017,April,Number of Drug Overdose Deaths,989,Colorado
2017,August,Number of Drug Overdose Deaths,"1,019",Colorado
2017,December,Number of Drug Overdose Deaths,"1,040",Colorado
2017,February,Number of Drug Overdose Deaths,967,Colorado
2017,January,Number of Drug Overdose Deaths,977,Colorado
2017,July,Number of Drug Overdose Deaths,"1,013",Colorado
2017,June,Number of Drug Overdose Deaths,997,Colorado
2017,March,Number of Drug Overdose Deaths,964,Colorado
2017,May,Number of Drug Overdose Deaths,983,Colorado
2017,November,Number of Drug Overdose Deaths,"1,046",Colorado
2017,October,Number of Drug Overdose Deaths,"1,027",Colorado
2017,September,Number of Drug Overdose Deaths,"1,024",Colorado
2018,April,Number of Drug Overdose Deaths,"1,048",Colorado
2018,August,Number of Drug Overdose Deaths,"1,027",Colorado
2018,December,Number of Drug Overdose Deaths,"1,004",Colorado
2018,February,Number of Drug Overdose Deaths,"1,053",Colorado
